,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
25,6.65941,3.289554,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
26,6.672685,3.270538,Shop,,Coca-Cola Pepsi 7Up Fanta La Casera American Cola,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
27,6.658477,3.288844,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
28,6.65824,3.288992,Shop,,Coca-Cola Pepsi Fanta American Cola,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
29,6.672354,3.270239,Shop,,Coca-Cola Pepsi Fanta American Cola,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
30,6.657125,3.289199,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
31,6.634663,3.255573,Shop,,Coca-Cola Pepsi American Cola,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
32,6.657322,3.289195,Shop,,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,America cola,Well stocked
33,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera American Cola,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
34,6.672612,3.269965,Supermarket,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera Fayrouz Mirinda American Cola,1,1,1,0,1,1,1,1,0,1,1,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,All equal,,Well stocked
35,6.6726,3.270026,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta La Casera Teem American Cola,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
36,6.655732,3.288007,Shop,,Coca-Cola Pepsi 7Up Fanta,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Well stocked
37,6.672637,3.270065,Shop,,Coca-Cola Bigi Fanta La Casera American Cola,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
38,6.672552,3.270013,Shop,,Coca-Cola Fanta Others,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Big cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,Others,Fanta,Almost empty
39,6.648094,3.297775,Shop,,Coca-Cola Fanta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On shelf/carton In refridgerator/cooler,1,1,0,,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
40,6.671915,3.270201,Shop,,Coca-Cola Pepsi Bigi Fanta Sprite La Casera American Cola,1,1,1,0,0,1,1,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Well stocked
41,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta Sprite La Casera Mirinda Teem American Cola,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
42,6.647947,3.297378,Kiosk,,Coca-Cola Bigi 7Up Fanta,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
43,6.6351,3.256087,Hawking,,Fanta Sprite American Cola,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,In a bowl used in hawking,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
44,6.671686,3.269849,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
45,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite La Casera American Cola,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
46,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi Fanta American Cola,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
47,6.671853,3.269783,Shop,,Pepsi Bigi 7Up Fanta Sprite Teem American Cola,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
48,6.635115,3.25606,Shop,,Coca-Cola Pepsi 7Up Fanta Mirinda American Cola Others,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,Razzle,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
49,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi RC Cola Fanta Sprite La Casera,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,,Others,0,0,0,0,1,On the ground in front of the shop,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Partially stocked
50,6.672436,3.269943,Shop,,Fanta Teem,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Partially stocked
51,6.540541,3.26449,Shop,,Coca-Cola Fanta La Casera American Cola,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,Others,0,0,0,0,1,On some crates of coke,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Hard to tell,,Partially stocked
52,6.635111,3.256008,Supermarket,,Coca-Cola Pepsi Sprite American Cola,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
53,6.540541,3.26449,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Out of stock
54,6.671564,3.268025,Supermarket,,Coca-Cola Fanta,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
55,6.671753,3.267902,Shop,,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
56,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi Teem American Cola,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Partially stocked
57,6.558559,3.264608,Shop,,Pepsi 7Up Teem American Cola,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
58,6.67124,3.267273,Shop,,Coca-Cola Fanta Sprite Teem American Cola,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
59,6.672228,3.267434,Shop,,Coca-Cola Fanta La Casera American Cola,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
60,6.672401,3.267224,Shop,,Coca-Cola Pepsi 7Up Fanta American Cola,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Almost empty
61,6.558559,3.264608,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite Teem American Cola,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On the ground in front of the shop,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
62,6.558559,3.264608,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite Teem American Cola,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Hard to tell,,Well stocked
63,6.540541,3.26449,Shop,,RC Cola La Casera,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,Others,0,0,0,0,1,On a crate of coke,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
64,6.635056,3.255955,Others,Consumer consuming it,Fanta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Not Applicable
65,6.671139,3.266542,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Almost empty
66,6.540541,3.26449,Shop,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta Sprite La Casera Teem American Cola,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On the ground in front of the shop,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Hard to tell,,Well stocked
67,6.671683,3.267404,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
68,6.647804,3.29891,Shop,,Coca-Cola Bigi 7Up Sprite,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
69,6.647626,3.298646,Shop,,Pepsi 7Up Mirinda,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Partially stocked
70,6.671304,3.26768,Shop,,Pepsi Fanta Teem,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
