,,,,,Type of Product,,,,,,,,,,,,,,,,,Product Display,,,,,,,Package Type,,,,,,,,
S/N,Latitude,Longitude,Type of Outlet,Specify type of outlet,Type of Product (Combined Response),Coca-Cola,Pepsi,Bigi,RC Cola,7Up,Fanta,Sprite,La Casera,Schweppes,Fayrouz,Mirinda,Mountain Dew,Teem,American Cola,Others,Product Type - Others,Product Display (Combined Response),On shelf/carton,In refridgerator/cooler,On display stand,With consumer (actively being consumed),Others,Product Display - Others,Package Type Combined,PET bottle (50cl/1L),Glass bottle (35cl/60cl),Can (33cl),Others,Package Type - Others,Product with Higher shelf/refrigerator presence,Product with Higher shelf/refrigerator presence - Others,Stock condition
325,6.6511207,3.303129,Shop,,Coca-Cola Pepsi Bigi Fanta La Casera,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,,On display stand On shelf/carton,1,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl) Can (33cl),1,1,1,0,,All equal,,Well stocked
326,6.650035,3.3036038,Hawking,,Coca-Cola Pepsi Bigi American Cola,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,Inside bowl,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
327,6.6501415,3.3037667,Hawking,,Coca-Cola Pepsi Bigi,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,Others,0,0,0,0,1,Bowl,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
328,6.6490485,3.3053995,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
329,6.6490243,3.3054044,Hawking,,Coca-Cola Pepsi Bigi American Cola,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,In a bowl,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
330,6.6489667,3.3064163,Supermarket,,7Up Mirinda,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Mirinda,Well stocked
331,6.64895,3.3063983,Supermarket,,Pepsi Mirinda,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Well stocked
332,6.6488059,3.3061986,Supermarket,,Sprite Fanta,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Well stocked
333,6.6487852,3.3061086,Supermarket,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
334,6.6487883,3.30606,Supermarket,,Bigi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Well stocked
335,6.648977,3.3058993,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta La Casera American Cola,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler On display stand,1,1,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
336,6.6032856,3.2742212,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Almost empty
337,6.6019513,3.2743182,Shop,,Coca-Cola Fanta Sprite Teem,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
338,6.6012188,3.2743285,Kiosk,,Pepsi 7Up American Cola,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
339,6.6002975,3.2743543,Others,Consumer,7Up,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,With consumer (actively being consumed),0,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,7up,Not Applicable
340,6.5993762,3.2743962,Hawking,,Pepsi Mirinda American Cola Teem,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,,Others,0,0,0,0,1,In a hawking bowl,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
341,6.5983985,3.2752169,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
342,6.6001234,3.2767723,Shop,,Pepsi Coca-Cola 7Up Fanta Sprite American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
343,6.6013564,3.2770067,Shop,,Pepsi Coca-Cola Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
344,6.6024428,3.2774874,Shop,,Pepsi Sprite,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
345,6.6045493,3.2759253,Restaurant/Bar,,Coca-Cola Fanta Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Hard to tell,,Partially stocked
346,6.6045074,3.2739053,Shop,,Pepsi Schweppes American Cola Others,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,"Nutri milk,malt,supa command",On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Can (33cl),1,0,1,0,,Others,American cola,Well stocked
347,6.604156,3.2732975,Open market stall,,Coca-Cola Pepsi 7Up Fanta Mirinda American Cola Others,1,1,0,0,1,1,0,0,0,0,1,0,0,1,1,"Bigi cola,nutri milk malt",On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
348,6.60517,3.2729867,Shop,,Fanta,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Only the fanta is available,Partially stocked
349,6.60517,3.2729867,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
350,6.6058705,3.2724324,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
351,6.6058312,3.2715255,Shop,,Coca-Cola Pepsi Fanta American Cola,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
352,6.6057583,3.2701933,Shop,,Coca-Cola Teem,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
353,6.6057633,3.270195,Shop,,Coca-Cola Fanta Teem,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Well stocked
354,6.6058253,3.2715809,Shop,,Pepsi Coca-Cola Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
355,6.60586,3.2727483,Hawking,,Pepsi American Cola Others,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Fearless,Others,0,0,0,0,1,Hawking bowl,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
356,6.5475183,3.2687933,Shop,,Coca-Cola Pepsi Bigi RC Cola 7Up Fanta Sprite La Casera American Cola Teem,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
357,6.5474769,3.2688369,Shop,,Coca-Cola Pepsi Bigi American Cola Teem Fanta Sprite 7Up RC Cola La Casera Others,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,Big cola,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
358,6.5469765,3.2685261,Shop,,Coca-Cola Pepsi La Casera American Cola,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,Glass bottle (35cl/60cl) PET bottle (50cl/1L),1,1,0,0,,Hard to tell,,Almost empty
359,6.5466054,3.268306,Shop,,Pepsi Coca-Cola Bigi RC Cola Fanta 7Up,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Pepsi,,Partially stocked
360,6.548015,3.2625767,Supermarket,,Coca-Cola Pepsi Fanta Others,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,Pop cola,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
361,6.5463167,3.26556,Hawking,,American Cola Coca-Cola Pepsi 7Up Bigi RC Cola Fanta La Casera Sprite Teem,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,,Others,0,0,0,0,1,On display in a plastic basin on the ground,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Well stocked
362,6.5455617,3.266345,Others,Open space on the road side,Bigi RC Cola,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,Others,0,0,0,0,1,On the ground,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
363,6.5465326,3.2682725,Shop,,American Cola Teem Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
364,6.5463717,3.2681533,Shop,,Mirinda 7Up,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Others,Miranda,Almost empty
365,6.5453761,3.2680212,Shop,,Coca-Cola Pepsi Fanta Sprite American Cola,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Well stocked
366,6.5450933,3.26775,Shop,,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,On the ground in front of the shop,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
367,6.5447967,3.26745,Shop,,American Cola La Casera Pepsi,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
368,6.544815,3.2670267,Shop,,Coca-Cola Pepsi Bigi American Cola,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,American cola,Partially stocked
369,6.6171733,3.2969083,Shop,,7Up Fanta Sprite Coca-Cola Pepsi American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
370,6.6175301,3.2962699,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Well stocked
371,6.6171871,3.2961438,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
372,6.6172517,3.296155,Shop,,Coca-Cola Pepsi 7Up Fanta American Cola,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
373,6.6170233,3.295,Shop,,American Cola Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
374,6.6164583,3.2945917,Shop,,Coca-Cola Pepsi Bigi American Cola,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
375,6.61628,3.2948367,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta American Cola,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Well stocked
376,6.6160483,3.29513,Shop,,Coca-Cola Pepsi Bigi Sprite Fanta 7Up American Cola La Casera,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
377,6.6159617,3.2952483,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
378,6.6152965,3.2958217,Shop,,Coca-Cola Pepsi Bigi Fanta Sprite American Cola,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
379,6.6150117,3.296165,Shop,,Coca-Cola Pepsi American Cola Fanta,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
380,6.6007271,3.2920536,Supermarket,,Pepsi Fanta Sprite Others Coca-Cola,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,"Coca cola ,fatai ,sprite",On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Partially stocked
381,6.6001318,3.2927017,Shop,,Coca-Cola Pepsi American Cola,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
382,6.6002816,3.2927364,Shop,,Coca-Cola Pepsi Fanta Sprite American Cola,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
383,6.6008563,3.2928583,Shop,,Coca-Cola Fanta 7Up,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
384,6.6008629,3.2928608,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Pepsi,,Well stocked
385,6.6008806,3.2928571,Shop,,Coca-Cola Pepsi American Cola Sprite Fanta Bigi,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Partially stocked
386,6.6009444,3.2929485,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite American Cola,1,1,0,0,1,1,1,0,0,0,0,0,0,1,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
387,6.6013695,3.292974,Restaurant/Bar,,Coca-Cola Pepsi 7Up Fanta Sprite,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Partially stocked
388,6.6018033,3.2928417,Shop,,Coca-Cola Pepsi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
389,6.6014115,3.2934274,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,On shelf/carton In refridgerator/cooler,1,1,0,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Well stocked
390,6.6014148,3.2934316,Shop,,Coca-Cola Pepsi 7Up Mirinda Fanta Sprite American Cola,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,,On shelf/carton On display stand,1,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,Coke,,Well stocked
391,6.601403,3.2934526,Shop,,Coca-Cola Pepsi Bigi American Cola Fanta,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,,In refridgerator/cooler,0,1,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
392,6.5508148,3.2403721,Shop,,Coca-Cola Fanta American Cola,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Well stocked
393,6.5512901,3.2415966,Shop,,American Cola,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,Others,0,0,0,0,1,Outside and inside,PET bottle (50cl/1L),1,0,0,0,,Others,Stalked on the floor,Partially stocked
394,6.5512217,3.2422567,Shop,,Fanta Coca-Cola,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
395,6.5512417,3.2423367,Shop,,Bigi,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Bigi,,Well stocked
396,6.5511929,3.2426185,Shop,,Coca-Cola Fanta Pepsi,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
397,6.5512041,3.2421506,Shop,,Bigi Fanta,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
398,6.55124,3.2415233,Shop,,Bigi Fanta American Cola,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
399,6.5502373,3.2425338,Shop,,Fanta Pepsi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
400,6.5500647,3.2425851,Shop,,Fanta Pepsi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta,Well stocked
401,6.5499391,3.2427878,Shop,,Fanta Pepsi,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Others,Fanta and pepsi,Partially stocked
402,6.5497318,3.2427247,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
403,6.5495633,3.2427083,Shop,,Coca-Cola Fanta 7Up,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,All equal,,Partially stocked
404,6.5498416,3.2430737,Shop,,Pepsi Fanta La Casera,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
405,6.5495917,3.2434983,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
406,6.549785,3.243475,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
407,6.5496314,3.2440906,Shop,,Fanta American Cola,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
408,6.5495309,3.2439925,Shop,,Pepsi Coca-Cola,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On shelf/carton,1,0,0,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
409,6.5495473,3.2438599,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
410,6.5497377,3.2432614,Shop,,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
411,6.550155,3.2421033,Shop,,Pepsi American Cola,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
412,6.577831,3.243246,Shop,,Coca-Cola Fanta Others,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
413,6.578003,3.2432284,Shop,,Coca-Cola 7Up,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Almost empty
414,6.5782261,3.2433939,Shop,,Coca-Cola Pepsi 7Up Fanta Others,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,None,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Partially stocked
415,6.5781836,3.2438867,Shop,,7Up Pepsi,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Almost empty
416,6.5778841,3.2444487,Shop,,American Cola Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Partially stocked
417,6.5782238,3.2448823,Shop,,Pepsi,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Pepsi,,Partially stocked
418,6.5782417,3.2448917,Shop,,Pepsi 7Up,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Pepsi,,Almost empty
419,6.5787542,3.2454766,Shop,,Coca-Cola Pepsi Bigi 7Up Fanta Sprite Schweppes American Cola Others,1,1,1,0,1,1,1,0,1,0,0,0,0,1,1,Coca-Cola,In refridgerator/cooler On display stand,0,1,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
420,6.5789935,3.2453029,Open market stall,,Coca-Cola 7Up Fanta Sprite Bigi Fayrouz Schweppes La Casera American Cola Others,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,"Cway and coke,",On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
421,6.579227,3.2450158,Shop,,Coca-Cola Sprite Pepsi 7Up,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Hard to tell,,Partially stocked
422,6.579709,3.2446761,Shop,,Coca-Cola Pepsi Bigi 7Up Sprite Fanta La Casera Schweppes American Cola Others,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1,Coca-Cola,In refridgerator/cooler On display stand,0,1,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Well stocked
423,6.5795743,3.2440493,Shop,,Coca-Cola Fanta 7Up Pepsi,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
424,6.5791869,3.2431499,Shop,,Coca-Cola Pepsi 7Up,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
425,6.5791647,3.2429407,Shop,,Coca-Cola Pepsi 7Up Fanta Sprite,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
426,6.5790881,3.2430183,Shop,,Coca-Cola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
427,6.5790884,3.2431168,Shop,,Coca-Cola 7Up,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,Glass bottle (35cl/60cl),0,1,0,0,,Coke,,Almost empty
428,6.5791217,3.2430733,Shop,,Coca-Cola 7Up,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
429,6.6632031,3.2588441,Shop,,Pepsi Fanta American Cola,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
430,6.663127,3.2594933,Shop,,Coca-Cola Fanta Sprite,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
431,6.6636633,3.258555,Shop,,La Casera Fanta Pepsi Sprite American Cola Coca-Cola,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L) Glass bottle (35cl/60cl),1,1,0,0,,All equal,,Almost empty
432,6.6642533,3.2581003,Shop,,Pepsi Fanta,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,All equal,,Almost empty
433,6.6643616,3.2575283,Shop,,Coca-Cola Pepsi Fanta La Casera Others,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,Big cola,On display stand,0,0,1,0,0,,PET bottle (50cl/1L),1,0,0,0,,Coke,,Partially stocked
